text,annotation,created_at,user_id,status_id,reply_to_status_id,reply_to_user_id,country,country_code,location,lang,retweet_count,is_retweet,retweet_location,retweet_status_id,reply_count,favorite_count,retweet_favorite_count,inter_rater
I'm assuming the @brexitparty_uk won't mind if @NicolaSturgeon stands up and uses similar language to describe Scotland's relationship with England https://t.co/9ZuiRbifGG,not_misogynistic,2019-07-04 19:38:01,16126782,1146865766463152100,NA,NA,NA,NA,"South East, England",en,0,0,NA,NA,NA,0,NA,FALSE
@UnburntWitch Cool I guess at the next con you dont mind milkshake being poured on you,not_misogynistic,2019-07-01 16:17:20,1003363910051917800,1145728102678564900,1145413864424558600,226346115,NA,NA,On the internet,en,0,0,NA,NA,NA,0,NA,FALSE
@RealCandaceO @AOC @SenSanders A lot of today’s American’s also lack any self accountability and will rush to line up behind anyone that will justify their thoughts of “my place in life isn’t because of my choices but the doings of (insert boogeyman here)”,not_misogynistic,2019-07-06 21:29:37,458915494,1147618630651318300,1147478900697706500,87824760009651e4,NA,NA,NA,en,0,0,NA,NA,NA,0,NA,FALSE
@hello_bio @DrEmilyGrossman @encods2019 My top takeaway is called Peckish. Great curries and kebabs from there. Looking forward to seeing yours.,not_misogynistic,2019-06-25 13:47:45,960977131776995300,1143516128989331500,1143495915220738e3,2284969909,NA,NA,United Kingdom,en,0,0,NA,NA,NA,0,NA,FALSE
@CaptainSaltire @ferguson2811 @Janela_X @MhairiHunter @Ips_cali @BBCPhilipSim @theSNP @NicolaSturgeon @EnglishScot4YES See there your problem right there  A racist banner surrounded by Yes flags and are sent nationalists. If they can’t tolerate the racists why stand next to them. If Sturgeon and her band of idiots can’t condone the behaviour then it falls on decent people to do so. Do you?,not_misogynistic,2019-07-06 16:21:52,316722070,1147541179283718100,1147535508849008600,942416803,NA,NA,"Fife,Scotland",en,0,0,NA,NA,NA,0,NA,FALSE
@AgentP22 @UnwinStanley @NicolaSturgeon I wonder what the reaction would be if there were similar demonstrations in England. I am sure the word racism would be filling the airways and BBC news channels.,not_misogynistic,2019-07-05 20:00:36,956875205321904100,1147233838650789900,1147225260028235800,835608547,NA,NA,NA,en,0,0,NA,NA,NA,5,NA,FALSE
@Alison_McGovern @WirralCouncil @ThisGirlCanUK @EverydaySexism Unlikely they’d have done the same poster aimed at men. With women it’s ALL about looks!,misogynistic,2019-07-07 07:51:35,1019979158,1147775152236703700,1147520831628697600,21713090,NA,NA,NA,en,0,0,NA,NA,NA,0,NA,FALSE
@a_wood20 @AllisonMorris1 I'll settle for that 👍,not_misogynistic,2019-06-26 20:48:09,3058710079,1143984314469814300,1143983664562356200,239732581,NA,NA,Europe,en,0,0,NA,NA,NA,3,NA,FALSE
"@antianti69 To be fair to @MhairiHunter, she called out 'Mr Malky' some time ago. It just seems that, even as @NicolaSturgeon's campaign manager, her message didn't quite get through... https://t.co/TQIbilS8IA",not_misogynistic,2019-07-06 01:42:49,330291538,1147319962543042600,1147224120293302300,3109906829,United Kingdom,GB,"Edinburgh, Scotland",en,3,0,NA,NA,NA,13,NA,FALSE
@AllisonMorris1 @Deborah_utv Be glad its not glitter 😱,not_misogynistic,2019-06-24 21:25:36,20131209,1143268961783603200,1143264004250488800,220819048,NA,NA,Ireland,en,0,0,NA,NA,NA,1,NA,FALSE
@JKmurcury9 @NicolaSturgeon It doesn't.,not_misogynistic,2019-07-04 23:23:41,146054065,1146922557121212400,1146921181825699800,1041895243497582600,NA,NA,Up North,en,0,0,NA,NA,NA,1,NA,FALSE
"@GhostCloak4 @Emberrain319 @UnburntWitch I do have proof, in the form of literally everything he's written, and the fact that despite he himself even showing evidence that he wasn't welcome there, went anyway.",not_misogynistic,2019-07-01 02:32:02,339919008,1145520408327839700,1145520044685836300,1111801210200191e3,NA,NA,"Pinellas Park, FL",en,0,0,NA,NA,NA,0,NA,FALSE
"@yourbadromantic @JessicaValenti I think they have always been making these types of decisions, we are just hearing about them more now.",not_misogynistic,2019-07-04 02:30:12,41400624,1146607108156219400,1146560073390579700,2222268034,NA,NA,"Chicago, IL",en,0,0,NA,NA,NA,40,NA,FALSE
One of biggest takeaways from #50YearsScotland is that everyone loves @kezdugdale - and she absolutely deserves that love. Wishing her well in her new role.,not_misogynistic,2019-06-25 18:45:21,16180961,1143591021864980500,NA,NA,NA,NA,Scotland,en,1,0,NA,NA,NA,8,NA,FALSE
@a_wood20 @AllisonMorris1 Think you’ve just encapsulated it perfectly.,not_misogynistic,2019-06-27 17:55:51,408481382,1144303341016686600,1143960857950339100,239732581,NA,NA,Up North,en,0,0,NA,NA,NA,1,NA,FALSE
@JessicaValenti Be DESTROYED HER LIFE wtf,not_misogynistic,2019-07-04 15:22:57,863602520,1146801576696266800,1146249118223884300,4099171,NA,NA,"Georgia, USA",en,0,0,NA,NA,NA,0,NA,FALSE
"@AlexRunswick (Although personally, I'd agree that they should possibly have to do that within a fixed time limit of taking office.)",not_misogynistic,2019-07-03 15:03:29,20402602,1146434292869939200,1146434157461090300,20402602,NA,NA,England,en,0,0,NA,NA,NA,0,NA,FALSE
@JessicaValenti Unacceptable I’m furious,not_misogynistic,2019-07-03 23:32:02,1136380988332707800,1146562272694808600,1146249118223884300,4099171,NA,NA,NA,en,0,0,NA,NA,NA,1,NA,FALSE
@Jedbob67 @GlasgowCC @NicolaSturgeon @jeremycorbyn @policescotland Cheer up pal 😂👍🇬🇧,not_misogynistic,2019-07-06 07:59:56,990250278199943200,1147414866396962800,1147238071747960800,350779417,NA,NA,NA,en,0,0,NA,NA,NA,0,NA,FALSE
"@AllisonMorris1 Completely - not defending him but it does remind me of a lot of cases that are thrown/nearly thrown out of court because of social media attention &amp; ppl not realising that there’s things they can’t post legally, esp angers me when they say ”why won’t the news report on this?” 🙄",not_misogynistic,2019-07-06 10:43:19,339780803,1147455983372898300,1147455324363853800,220819048,NA,NA,"Belfast, Ireland",en,0,0,NA,NA,NA,0,NA,FALSE
@travisalabanza @mimmymum @PGUK @MrDuncanJames @MumsnetTowers @TransActualUK @OnlineTransHate @stophateuk @GalopUK @DitchtheLabel @appghatecrime @APPGLGBT @CommissionCE I'm so sorry you have to deal with that Travis :(,not_misogynistic,2019-06-26 15:59:27,1077339504,1143911660702359600,1143874314665697300,60699857,NA,NA,Space,en,1,0,NA,NA,NA,11,NA,FALSE
@RealDrDana @_aaalison__ @Medium @sadydoyle @JessicaValenti @rgay See my previous answer. His ideology is evil. I don't believe he necessarily is...I'm sure he thought was he was doing there was in the service of good. But it wasn't.,not_misogynistic,2019-07-02 17:20:30,23012945,114610638424687e4,1146093390322384900,517534714,NA,NA,"Austin, TX",en,0,0,NA,NA,NA,0,NA,FALSE
"@AQuivershaft @JessicaValenti I was posting that mainly because I know you can't appeal Not Guilty because that's double jeopardy, so I was confused about the reversal.",not_misogynistic,2019-07-03 19:03:58,441875846,1146494811379327e3,1146494385686757400,441875846,NA,NA,"Texas, USA",en,0,0,NA,NA,NA,0,NA,FALSE
@DendriteChirp @amypop @JessicaValenti Appropriate gif for a very real unscripted not funny situation,not_misogynistic,2019-07-03 18:55:27,132069121,1146492668920262700,1146380105989705700,316882298,NA,NA,"Los Angeles, CA/Galveston, TX",en,0,0,NA,NA,NA,0,NA,FALSE
@PeterNicoll7 It’s time @NicolaSturgeon,not_misogynistic,2019-07-04 20:38:45,29674352,1146881050553081900,1146652720645849100,1038481633878335500,NA,NA,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland,en,0,0,NA,NA,NA,0,NA,FALSE
From @JessicaValenti ---&gt; Pregnant Women Who Are Assaulted Are Being Treated Like Criminals — Not Victims: https://t.co/hwGp58PaKW,not_misogynistic,2019-07-05 15:27:39,14871174,1147165147905036300,NA,NA,NA,NA,"Verona, NJ",en,0,0,NA,NA,NA,0,NA,FALSE
"@amoshmarie @vulture @Splitsider @TheIBang @JessicaValenti @rgay It's not just the bookers, it also fans. All six shows are sold out.",not_misogynistic,2019-07-03 15:05:50,14663137,1146434882526240800,1146407646741835800,1550671555,NA,NA,"Columbus, OH",en,0,0,NA,NA,NA,2,NA,FALSE
"@BBCandrewkerr @NicolaSturgeon Serious question Andrew, Did you snigger when he said it?",not_misogynistic,2019-07-03 20:04:25,24867563,1146510023389929500,1146047440803549200,90628610,NA,NA,Scotland,en,0,0,NA,NA,NA,3,NA,FALSE
@cad6711 @AOC @icaito @SpeakerPelosi Key word here “heard”...,not_misogynistic,2019-07-07 15:38:29,4847919563,1.1478926528530801e+18,1147689596685344800,2796030338,NA,NA,United States,en,0,0,NA,NA,NA,4,NA,FALSE
@charliekirk11 @AOC This is terrifying.  That poor little girl.,not_misogynistic,2019-07-06 21:11:16,2220693988,1147614009530691600,1147591424000442400,292929271,NA,NA,"Cape St Claire, MD",en,0,0,NA,NA,NA,0,NA,FALSE
@UnburntWitch I am concerned.,not_misogynistic,2019-07-06 03:43:43,146712559,1147350386652528600,1147349643983872e3,226346115,NA,NA,Twin Peaks,en,0,0,NA,NA,NA,2,NA,FALSE
@JohnQui49722244 @AllisonMorris1 @irish_news Liking and retweeting your own tweets 🙄👎,not_misogynistic,2019-07-02 10:22:29,44616263,1146001186090364900,1146000090756198400,44616263,NA,NA,Co Aontroim,en,0,0,NA,NA,NA,2,NA,FALSE
@foshtown @macfadyenangus @Derych @NicolaSturgeon I have a mean streak too... Helps when planning to win.. 😉😉,not_misogynistic,2019-07-03 09:58:19,2168447951,1146357493448302600,1146355529591267300,41141717,NA,NA,Clydebank,en,0,0,NA,NA,NA,2,NA,FALSE
"@JanKubis @angeleyes_1980 @Pink @NicolaSturgeon Yes, they probably are. They do seem to be the only ones encountering any serious problems with Scottish banknotes. Can't say I've ever experienced real anti-Scottish hostility either. Maybe it's their own attitudes which need attention. Byety-bye, bhoy 😁",not_misogynistic,2019-07-03 21:01:27,305490277,1146524375811858400,1146523016588910600,137497684,NA,NA,"Edinburgh, UK",en,0,0,NA,NA,NA,0,NA,FALSE
@spacetwinks @UnburntWitch I read that issue its insanely good and terrifyingly relevant.,not_misogynistic,2019-07-04 19:19:08,2562463220,1146861017634410500,1146857800301207600,936981026,NA,NA,Nowhere,en,0,0,NA,NA,NA,2,NA,FALSE
@picklepikkl @UnburntWitch no they're right,not_misogynistic,2019-07-03 03:35:23,3476040614,1146261126029566e3,1146259807491543e3,3353593632,NA,NA,Canada,en,0,0,NA,NA,NA,1,NA,FALSE
@JessicaValenti It’s not rape unless there’s a gun involved??? What the fuck,not_misogynistic,2019-07-03 04:27:35,2804636809,1146274263621652500,1146249118223884300,4099171,NA,NA,"New York, NY",en,1,0,NA,NA,NA,1,NA,FALSE
"@NicolaSturgeon @STVColin @Jeremy_Hunt Asked by an audience member if he's willing to face the SNP head-on and protect the union, Jeremy Hunt replies: 'Yes I am.'

Then he's asked if he'd enter into an electoral pact with Farage. Hunt says the only way to deal with the Brexit party is 'to Brexit'. 

Johnson now up... https://t.co/8OCTRLVwsb",not_misogynistic,2019-07-05 19:07:48,522487569,1147220551745884200,1147216687407743e3,522487569,NA,NA,Scotland,en,0,0,NA,NA,NA,0,NA,FALSE
@NConway2 @kezdugdale More investment is vital- wherever it comes from. Very worrying therefore that some Scottish councils are cutting their homelessness budgets by millions of pounds just when we need to be investing in prevention.,not_misogynistic,2019-06-26 13:09:22,130244120,1143868859826544600,1143865844549787600,276117506,NA,NA,Peebles/Edinburgh,en,0,0,NA,NA,NA,0,NA,FALSE
"@paintbynotes @JessInTexas1 @TenNamesLater @VRKurosawa @mark_mercier @LindseyGrahamSC @AOC @HouseDemocrats Well, crap even Snopes says it's True that Obama did it,

https://t.co/WLbbkFQ72f",not_misogynistic,2019-07-07 13:25:22,537806849,1147859151760105500,1147858294976995300,537806849,NA,NA,United States,en,0,0,NA,NA,NA,0,NA,FALSE
@UnburntWitch aaaaaaaa oh god i still have scars,not_misogynistic,2019-07-05 18:00:18,1678265455,1147203565993254900,1147195908456505300,226346115,NA,NA,New York,en,0,0,NA,NA,NA,0,NA,FALSE
@YolandeMarie2 @413LifeOf @JessicaValenti I dont think that is necessary. The judge is from a nice family and has good test scores. We wouldn't want to hurt his future...,not_misogynistic,2019-07-03 22:22:57,1122503978556825600,1146544887816511500,114654449703313e4,762227071,NA,NA,NA,en,0,0,NA,NA,NA,2,NA,FALSE
"@ForresDee @moocowe @scotlandinunion @pamela_nash @NicolaSturgeon Actually, the question is worded in a more biased way does have an effect on voting intention.",not_misogynistic,2019-07-07 12:30:32,816011389273800700,1147845353686876200,1147826978483056600,195012248,NA,NA,"Cairneyhill, Scotland",en,0,0,NA,NA,NA,0,NA,FALSE
@JessicaValenti THIS A LIE RIP YOUR CHUBBY CAT WHO NAME I FORGOT,misogynistic,2019-07-02 20:44:40,885361,1146157767432048600,1146109084845924400,4099171,NA,NA,"Manhattan, NY",en,0,0,NA,NA,NA,5,NA,FALSE
@OorDayHasCame @babybropatto @darini001 @NicolaSturgeon I know - it protrudes her nose - typical Tory one 🤥,misogynistic,2019-07-04 22:42:36,1114620344424435700,1146912220670021600,1146905017330339800,2856875608,NA,NA,NA,en,0,0,NA,NA,NA,0,NA,FALSE
@PetuniaCatLand @yona1959 @CageTheErumpent @ScotlandChooses @NicolaSturgeon Karen white self iding isn't an issue though. It's the prison system fucking up and letting a trans prisoner with a clearly documented history of violent assaults on women mingle with gen pop.,not_misogynistic,2019-07-05 03:18:44,368199818,1146981709239476200,1146896606010249200,3529164736,NA,NA,NA,en,0,0,NA,NA,NA,0,NA,FALSE
"@NicolaSturgeon @JeaneF1MSP You don't need an investigation that will conveniently Bury it for a couple of years and take the heat off the snp, somebody knows who's responsible.",not_misogynistic,2019-07-06 18:51:03,2896380293,1147578725980082200,1146808302476640300,160952087,NA,NA,NA,en,0,0,NA,NA,NA,0,NA,FALSE
"@cilla1949 @Tihanygirl @ISambaman @GlasgowMystery @GlennBBC @NicolaSturgeon @theresa_may Well you should learn sbout what the SNP spends the budget on before parading your ignorance over social media. What is your opinion on the appointment of a minister of Europe, Migration and International Development and the associated funding?",not_misogynistic,2019-07-06 01:34:08,330291538,1147317774471049200,1147167353211428900,1633230764,United Kingdom,GB,"Edinburgh, Scotland",en,0,0,NA,NA,NA,1,NA,FALSE
@UnburntWitch I didn't really know anything about it before I started watching on netflix and the intro alone just threw me for a loop.  Was still really interesting though.,not_misogynistic,2019-07-02 23:14:47,183363817,1146195543229681700,1146194478887133200,226346115,NA,NA,NC,en,0,0,NA,NA,NA,1,NA,FALSE
"@call_me_cathy @NicolaSturgeon I'm a bit confused: feeling like the context of my words are irrelevant, but the context of your words matter 😕
I have no wish to argue with you and while we clearly won't agree, I am still sorry tht I've upset you. 
Take care Cathy x",not_misogynistic,2019-07-07 09:01:31,4493830397,1147792752027033600,1147613661973962800,218635579,NA,NA,"Hamilton, Scotland",en,0,0,NA,NA,NA,0,NA,FALSE
"@Dunnezo @saikatc @AOC @RashidaTlaib @AyannaPressley @IlhanMN I haven’t said anything to you in about an hour, we were having a conversation. Stop flattering yourself. Lolll.",not_misogynistic,2019-07-07 08:25:12,893721283099148300,1147783612298719200,1147783356115017700,18661233,NA,NA,"Washington, USA",en,0,0,NA,NA,NA,0,NA,FALSE
@TriggerCalvert @RidgeOnSunday @SophyRidgeSky @NicolaSturgeon @PhilipHammondUK @hmtreasury @UKGovScotland You do it would be part of the withdrawal agreement parliment won't let you leave without taking some of the liability debt wise.,not_misogynistic,2019-07-03 12:08:08,1063493895546392600,1146390162064248800,1142733446009237500,118786702,NA,NA,NA,en,0,0,NA,NA,NA,0,NA,FALSE
@Toby1k @Snugglekins76 @KTMSays @RichTD5 @stephenfry @EverydaySexism I mean it. I want to understand,not_misogynistic,2019-07-04 19:09:37,2530900891,1146858619314540500,114685771032499e4,19532873,NA,NA,NA,en,0,0,NA,NA,NA,0,NA,FALSE
@NicolaSturgeon A limited PM with a small world view! She’s yesterday’s news but she leaves a dreadful legacy across the British Isles. But has served our purpose here in Scotland very well. Forward to independence!!!!,not_misogynistic,2019-07-03 16:44:14,58728594,1146459645478879200,1146128356091551700,160952087,United Kingdom,GB,"Scotland, United Kingdom",en,0,0,NA,NA,NA,0,NA,FALSE
@HTScotPol These people do more for the Union than anyone else 🤣 thank you @NicolaSturgeon &amp; @theSNP 👏 🇬🇧+🏴󠁧󠁢󠁳󠁣󠁴󠁿,not_misogynistic,2019-07-07 08:29:38,902265795534889e3,1147784726981283800,1147190116382838800,170252522,NA,NA,"Glasgow, Scotland",en,0,0,NA,NA,NA,0,NA,FALSE
@Gcrfc1984 @PeterAdamSmith @itvnews @NicolaSturgeon Suggesting??,not_misogynistic,2019-07-06 16:24:46,378299360,1147541912234143700,1147538125717213200,226941690,NA,NA,"Coatbridge, Scotland",en,0,0,NA,NA,NA,0,NA,FALSE
"@AllisonMorris1 @irish_news Great article Allison, the addressing of legacy issues is one of the major hindrances in our society not moving forward, the fact that so many victims are still seeking a closure of sorts is a failure of us all, 
If victim groups were less splintered maybe it would help.",not_misogynistic,2019-07-04 09:11:15,303868303,1146708036226080800,1146705678653894700,220819048,NA,NA,"Belfast, Northern Ireland",en,0,0,NA,NA,NA,4,NA,FALSE
@Dominique_ITV @itvnews @NicolaSturgeon @BorisJohnson @Jeremy_Hunt Plenty of volunteer drivers I bet.,not_misogynistic,2019-07-04 15:24:27,791802650,1146801953852276700,1146756226765807600,3273290396,NA,NA,Northamptonshire,en,0,0,NA,NA,NA,0,NA,FALSE
@heraldscotland @joswinson @NicolaSturgeon You get more realistic political discourse in the Beano these days.,not_misogynistic,2019-07-03 16:23:20,295779626,1146454387184885800,1145618045475250200,157997359,NA,NA,Scotregion,en,0,0,NA,NA,NA,1,NA,FALSE
"@WingsScotland @mar_vickers @NicolaSturgeon To selectively pull out one part to prove a point, rather than attach the origional video and give an opinion on that.

When asked to link to the original video, Mar refused.

Now I know why I keep out of this type of debate. And I thought that indyref was bitter.",not_misogynistic,2019-07-04 08:12:14,24895263,1146693186133385200,1146598745146048500,404123976,NA,NA,"Not here, someplace else.",en,1,0,NA,NA,NA,0,NA,FALSE
"@BranPavokovic @cindershad0w @UnburntWitch You still haven’t actually provided any evidence of cement.
You keep saying it but that doesn’t actually make it true.",not_misogynistic,2019-07-01 12:47:20,437650503,1145675250660761600,1145674965309481e3,958907511658049500,NA,NA,"Belfast, Northern Ireland",en,0,0,NA,NA,NA,0,NA,FALSE
"@Purpliser @TGMD81 @NicolaSturgeon Go on then, I'll bite:

What have I said that could possibly be construed as ""defending"" anyone?

What am I saying? You make stuff up, doncha?",not_misogynistic,2019-07-05 00:25:42,351915377,1146938164059279400,1146927291097866200,17787711,NA,NA,London (for now),en,0,0,NA,NA,NA,0,NA,FALSE
@DanielleDASH Can you keep your voice down plz,misogynistic,2019-06-23 20:47:57,59835314,1142897100071546900,1.1428726187999601e+18,124248049,NA,NA,"Lincoln, England",en,0,0,NA,NA,NA,1,NA,TRUE
@ka8895 @NicolaSturgeon @JeaneF1MSP And even then there will always be snagging issues at each stage.,not_misogynistic,2019-07-04 18:53:38,20800038,1146854597220282400,1146853874495569900,2255784112,NA,NA,Lost somewhere in Ayrshire.,en,0,0,NA,NA,NA,0,NA,TRUE
@billyt501 @kezdugdale @patrickharvie @THTScotland Billy are you shorter than Patrick? 👀,not_misogynistic,2019-06-25 19:30:56,440078402,1143602493659725800,1143601211419123700,222128014,NA,NA,Dundee,en,0,0,NA,NA,NA,3,NA,TRUE
@Kilky43 @IsaNamee @Maureen6Johnson @The_Flufter @dj_forrester @Bibbeth6 @NicolaSturgeon Really ?,not_misogynistic,2019-07-03 20:08:05,891979461406728200,1146510944786419700,1146504753620426800,2215625489,NA,NA,"Glasgow , Great Britain",en,0,0,NA,NA,NA,0,NA,TRUE
@siwatkins @NicolaSturgeon What a load of rubbish. Most people I spoke to wanted less devo if anything in order to limit the legislative power of the SNP. This whole devo business was a completely betrayal by the UK Government to those of us who campaigned for no.,not_misogynistic,2019-07-04 07:11:03,331824590,1146677786733494300,1146663661295026200,14791411,United States,US,UK of GB & NI; Texas; RoI.,en,0,0,NA,NA,NA,0,NA,TRUE
If I can’t dress like a little whore I’m not interested in going,misogynistic,2019-06-30 17:23:03,944610232377987100,1145382252001579e3,NA,NA,NA,NA,NA,en,0,0,NA,NA,NA,2,NA,TRUE
"@EverydaySexism Agreed. This is an issue between these guys and the media that exposed them, not that people go around falsely accusing others for fun times.",not_misogynistic,2019-07-01 10:31:35,1095317643991625700,1145641091053641700,1145632801632477200,540812894,NA,NA,UK,en,0,0,NA,NA,NA,0,NA,TRUE
Eww these women are butt ugly lol I'm actually laughing my head of lol 😂#ENGCMR,misogynistic,2019-06-23 16:31:27,1061971793135763500,1142832550840348700,NA,NA,NA,NA,NA,en,0,0,NA,NA,NA,0,NA,TRUE
I think this bitch drugged my shit 😭,misogynistic,2019-06-29 13:08:03,405756876,1144955692060745700,NA,NA,NA,NA,Philly,en,0,0,NA,NA,NA,0,NA,TRUE
"Cuando nadie te apoya ni cree en ti pero tu si debes de creer en ellos y apoyarlos en todo 
fuck bitch no🖕",misogynistic,2019-06-29 11:03:31,946957779876622300,1144924348970610700,NA,NA,NA,NA,"Boquerón, Puerto Rico",es,0,0,NA,NA,NA,1,NA,TRUE
@RosannaPansino @JoeyGraceffa  @EscapeTheNight  why be killed my friends @ColleenB123 u r oh ok,not_misogynistic,2019-07-01 18:44:18,3283545403,1145765084704038900,NA,64342649,NA,NA,Millbare CA,en,0,0,NA,NA,NA,0,NA,TRUE
